Provider_Name,Contacts,Category,Speciality,Physical Address,County,Coordinates,Latitude,Longitude,Exact_Location
Westlands Laser Eye Hospital,703112233,Specialist,Optomerist,"Westside Towers, Westlands",Nairobi,"(-1.2675001, 36.812022)",-1.2675001,36.812022,Westlands
Empire opticals,722294961,Specialist,Optician,"Postbank House CBD Nairobi, KE, Market lane off Koinange street, Nairobi",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Nairobi CBD
Lenstech Opticians,705811191,Specialist,Optician,Fetha valley arcade shopping mall,Nairobi,"(-1.2907232, 36.7691572)",-1.2907232,36.7691572,Fedha
Perkins Eye Clinic & Optical Services,0755 991636,Specialist,Optician,"Adams Arcade, Nairobi",Nairobi,"(-1.3003353, 36.7804253)",-1.3003353,36.7804253,Ngong Road
Dr. Anthony Kenyanya,0715728231/ 0722659581,Specialist,Oral & Maxilifacial Surgeon,Hurlingham Medicare Plaza 4th Floor Room 4181,Nairobi,"(-1.294212, 36.8073518)",-1.294212,36.8073518,Hurlingham
Dr. Edwin Rono,3744550/ 0720456773,Specialist,Oral & Maxilifacial Surgeon,"Suite 113, Nairobi Hospital Doctors' Plaza. drekrono@gmail.com",Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr. Erick Kahugu ,0.997959315,Specialist,consultant maxillofacial surgeon,upper hill medical centre,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Nairobi Maxillofacial Surgery Clinic,0797119392/ 0202716803/0722520086,Specialist,Oral & Maxilifacial Surgeon,The Nairobi Hospital Doctors Plaza,Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
Dr David Gitau KinyanjuiÂ  ,722857091,Specialist,Orthopaedic & Trauma Surgeon ,"KMA Centre, Mara Road, suite 212",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
"Dr Michael Maru/Nairobi spine&Orthopaedics Centre (Fortis suites 1st floor,Hospital road upperhill)",0708 888823/0791 399103,Specialist,Orthopaedic,"Fortis suites 1st floor,Hospital road upperhill",Nairobi,"(-1.300114, 36.8127263)",-1.300114,36.8127263,Upperhill
Dr Richard Bwana Ombachi,722524948,Specialist,Orthopaedic surgeon ,"Fortis Suites, Hospital Rd, Nairobi",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr Soren Oliver Otieno (General Accident hse 1st floor room 2),0720 007036/0722 739513,Specialist,Orthopaedic,General Accident hse 1st floor room 2,Nairobi,"(-1.294212, 36.8073518)",-1.294212,36.8073518,Hurlingham
Dr Timothy Byakika ,722798199,Specialist,Orthopaedic & Trauma Surgeon ,"Upperhill medical centre, Java House, Ralph Bunche road,Nairobi ",Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Dr. Calisto Odongo,0722339488/ 2714400/6435,Specialist,Orthopaedic Consultant,Nairobi Hospotal Doctors Plaza,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr. James Kabora Mogire,0715856855/0722939195,Specialist,Orthopaedic surgeon ,The Nairobi Hospital-Argwings Kodhek road Nairobi ,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr. James Kigera (Orthopedic and Trauma institute),706674311,Specialist,Orthopaedic & Trauma Surgeon ,Hurlingham Medicare Plaza ,Nairobi,"(-1.295298, 36.7990396)",-1.295298,36.7990396,Hurlingham
Dr. Makena Mbogori- Mirazi Limited,113035848,Specialist,Orthopaedic,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr. Mogire,0715856855/ 0722939195,Specialist,Orthopaedic,"Ground Floor, KNH Doctors' Plaza",Nairobi,"(-1.3019713, 36.8074901)",-1.3019713,36.8074901,Upperhill
Dr. Ndeda Antony- Mirazi Limited,113035848,Specialist,Orthopaedic,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr. Okedi Nelson- Mirazi Limited,113035848,Specialist,Orthopaedic,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr. Samuel Otinga,0203741059/0758960027,Specialist,Orthopaedic & Trauma Surgeon ,"Aga Khan Doctors Plaza, Parklands",Nairobi,"(-1.2621629, 36.8249082)",-1.2621629,36.8249082,Parklands
Dr. Sitati F. C,722607220,Specialist,Orthopaedic,Fortis Suites,Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Nairobi Spine and Ortopaedic Centre,791399104,Specialist,Orthopaedic & Trauma Surgeon ,"Fortis Suites, Hospital Rd, Nairobi",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
"Prof Lawrence ndegwa Gakuu (Menelik hospital ,Off Ngong Road)",0722 208370,Specialist,Orthopaedic,"Menelik hospital ,Off Ngong Road",Nairobi,"(-1.296924, 36.7838012)",-1.296924,36.7838012,Kilimani
Prof. J. A. O Mulimba,0703823178/ 0722711217,Specialist,Orthopaedic,Upperhill Medical Centre,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
The Nairobi Bone & Joint Clinic-Dr. Johnson Murila,703200557,Specialist,Orthopaedic,Nairobi Hospital Doctor's Plaza Suite 105,Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
Dr. Nancy N. Ngugi,0710320045/254 202846410/2718928,Specialist,Consultant Physician & Endocrinologist,Nairobi Hospital Doctors Plaza Ground Floor Rm GO1,Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Upperhill
"Dr Bill Karanja Kigathi/ LaFemme Healthcare Services (Greenhouse Mall East Wing 2nd Floor Suit 18, Ngong Road Acade)",0752 694365,Specialist,Paeditrician ,"Greenhouse Mall East Wing 2nd Floor Suit 18, Ngong Road Acade",Nairobi,"(-1.300497, 36.781778)",-1.300497,36.781778,Ngong Road
Dr Florence Murila,715628854,Specialist,Consultant Paeditrician/ neonatologist,"Bemuda Plaza, Ngong Rd",Nairobi,"(-1.2981443, 36.7993472)",-1.2981443,36.7993472,Ngong Road
Dr Naomi Gachara,202846436,Specialist,Consultant Paeditrician ,"Doctors Plaza, Nairobi Hospital.",Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
Dr Susan Wariua,741470055,Specialist,Consultant Paeditrician/ neonatologist,"Elgon Court, Ralph Bunche Rd, Nairobi",Nairobi,"(-1.2966142, 36.8067174)",-1.2966142,36.8067174,Upperhill
Dr. A Safwat,0701-009597 / 0720-132745,Specialist,Paediatric Surgeon,Nairobi Hospital Drs. Plaza,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr. Claire Mueni Ngeta- Buruburu,0202737987/ 0722678954,Specialist,Paeditrician ,"Point Mall, Buruburu, 1st Floor",Nairobi,"(-1.2936696, 36.8758999)",-1.2936696,36.8758999,Buruburu
Dr. Claire Mueni Ngeta-Ben-ammi,0202737987/ 0722678954,Specialist,Paeditrician ,Ben ammi Medical Centre,Nairobi,"(-1.29463, 36.812679)",-1.29463,36.812679,Upperhill
Dr. Florence M. Mwendwa,"0733740025, 020 271662718",Specialist,Consultant Paeditrician ,"Upper Hill Medical Centre Suite 4B, 4th Floor Ralph Bunche Road. Nairobi",Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Dr. Lucy. N. Gachare,0722640371 / 0721270922,Specialist,Consultant Peadiatrician/ Chest Specialist,Upperhill Medical Centre,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Dr.Florence V. Murila (New anderson centre nairobi hsp.4th floor room 4.8),0715 628854/0787 661834/0729 430022,Specialist,Paeditrician ,New anderson centre nairobi hsp.4th floor room 4.8,Nairobi,"(-1.2965748, 36.8044024)",-1.2965748,36.8044024,Upperhill
JMPAATA Children Clinic,0717176463 / 0737223677,Specialist,Paeditrician ,"Kilimani Argwings Kodhek Rd, Upper hill Nairobi Hospital Laboratory Bldg, Nairobi",Nairobi,"(-1.293992, 36.7953068)",-1.293992,36.7953068,Upperhill
Kilimani's Children clinic (Dr. Moses Lango),706612699,Specialist,Consultant Paeditrician ,"Dr.'s plaza Nairobi Hospital Suite 307/ Likoni Lane, Off Denis Prih Road Kilimani",Nairobi,"(-1.2832044, 36.7888319)",-1.2832044,36.7888319,Upperhill
DR . Thomas M. Mutie ,0722849337/0717967285,Specialist,Physician/ Gastroenterologist ,Nairobi hospital Doctors Plaza,Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
Dr. Betty Musau,0722774999 / 0721552582/ 0733672785,Specialist,Physician,The Nairobi Hospital Drs Plaza RM 206,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr. David Ndonye Musyoka(nephrologist),722750037,Specialist,Consultant Physician & Kidney Specialist,Upper Hill Medical Centre 3rd Floor,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Dr. Doreen A. Asimba,020-8073284/ 0733757754,Specialist,Physician,Nairobi Hospital Doctors Plaza,Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
Dr. Eve Mubia Njenga,0726119729/0202722826,Specialist,Consultant Physician & Endocrinologist,"5th Avenue Suites, Nairobi ",Nairobi,"(-1.2961196, 36.8081259)",-1.2961196,36.8081259,Upperhill
Dr. Kahenya P.N.P,020313370/ 02045544/ 0733722824,Specialist,Physician,"National Bank Building, Harambee Avenue South Podium 1st floor",Nairobi,"(-1.2889222, 36.8233977)",-1.2889222,36.8233977,Starehe
Dr. Miriam Kaingo- Mirazi Limited,113035848,Specialist,Family Physician,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr. Philip K. Kisyoka,0701939136/7,Specialist,Physician,The Nairobi Hospital Drs Plaza RM 308,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Nairobi Arthritis  Clinic - Dr Omondi Oyoo,0727935706/2729905,Specialist,Consultant Physician & Rheumatologist,Fortis Suites 1st Floor Suites 10 Hospital Road,Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
The Sleep Diagnostic and Treatment Centre,768824184,Specialist,Sleep disorders,"Gatundu Rd, Kileleshwa.",Nairobi,"(-1.277912, 36.7850083)",-1.277912,36.7850083,Kileleshwa
Spine health sports injury clinic- Physiotherapist,780406755,Specialist,Physicians,"Fort Granite Flats, Bishop Bishop Rd, Nairobi",Nairobi,"(-1.2929591, 36.8063316)",-1.2929591,36.8063316,Upperhill
Parklands Kidney Centre-Parklands(nephrologist),020 2641853/0723 889612/0762 790205,Specialist,Physicians,"3rd Parklands Avenue,Parklands Mediplaza 2nd floor",Nairobi,"(-1.2622799, 36.8226243)",-1.2622799,36.8226243,Parklands
.Nairobi Arthritis Clinic,0727935706/2729905,Specialist,Consultant Physician & Rheumatologist,Fortis Suites 1st Floor Suites 10 Hospital Road,Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Liberty Arthritis Clinic- Dr Eugene Kalman,758062182,Specialist,Consultant Physician & Rheumatologist,"KMA Centre, Mara rd, 2nd Floor",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Dr. JP Ogalo- Mirazi Limited,113035848,Specialist,Plastic & Reconstructive Surgeon,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr. Nangole Wanjala,0714342214/ 0733864249,Specialist,Plastic & Reconstructive Surgeon,General Accident House,Nairobi,"(-1.2960508, 36.8072381)",-1.2960508,36.8072381,Upperhill
Dr. Stanley Khainga,0723436408/020-2049861/3662763,Specialist,"Plastic, Reconstructive & Aesthetic Surgeon","Aga Khan Doctors Plaza, Suite 320 - Nairobi",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Parklands
Clarity Counselling,724590395,Specialist,Psychiatrist ,"3rd Floor, Northwing, Utalii House",Nairobi,"(-1.2834571, 36.8162253)",-1.2834571,36.8162253,Nairobi CBD
Dr. Ian Kanyanya,735277294,Specialist,Psychiatrist ,3rd Floor room A2 Prof. Nelson Awori Centre ,Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Dr. J. M. M'Ndegwa,0202724845/ 0710922569/ 0739262455,Specialist,Psychiatrist ,Prof. Nelson Awori Centre 3rd Floor Rm 3,Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Dr. Marx Okonji,0733610977/ 0715216242,Specialist,Psychiatrist ,Nairobi Hospital Drs. Plaza,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr. Pius Kigamwa,722521261,Specialist,Psychiatrist ,"Nairobi Hospital, Anderson Building 4th floor Rm 48",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Upperhill
Oasis Healthcare Group Ltd-Oasis Mental Health Ltd-Kitisuru,0755355596-Christine,Specialist,Psychiatrist ,"Off Peponi Road, Kitisuru",Nairobi,"(-1.2371581, 36.783561)",-1.2371581,36.783561,Westlands
Stephen Wahome,0772480511/0721361616,Specialist,Psychiatrist ,Amani plaza-Highridge.Parklands,Nairobi,"(-1.2591244, 36.8174964)",-1.2591244,36.8174964,Parklands
Vital Africa-Counselling services,790094812,Specialist,Psychiatrist ,"Suite 2, 4th Floor, Tower 3, The Mirage Building, Chiromo Rd, Nairobi",Nairobi,"(-1.26995, 36.80721430000001)",-1.26995,36.8072143,Westlands
Dr. James C. Munene ,706513499,Specialist,Thoracis & Cardivascular Surgeon,"Doctors Plaza, Nairobi hospital, 2nd floor room 208",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Upperhill
Dr. Makori Enoch- Mirazi Limited,113035848,Specialist,Cardio Thoracic suregeon,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr Robin Mogere,734410138,Specialist,Urologist,Nairobi Hospital Doctors Plaza,Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
Dr. Muigai Mararo- Mirazi Limited,113035848,Specialist,Urologist,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr. Wanjiru Karimi- Mirazi Limited,113035848,Specialist,Urologist,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Prof. Peter Mungai Ngugi,0771007085/ 0202585058,Specialist,Urologist,5th Floor suite 5B Upperhill Medical Centre,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Myer Kidney And Health Specialities HospitalÂ ,0716 170170,Specialist,Urologist,Upperhill KMA Centre,Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Carehub Physiotherapy Centre,796133361,Specialist,Physiotherapist,"Jalaram Rd, Off Ring Road, Parklands",Nairobi,"(-1.2590756, 36.8070888)",-1.2590756,36.8070888,Parklands
Chiropratic and physiotherapy Health Centre ltd,0701438755/0725546563,Specialist,Chiropractic and physiotherapy,"Kongoni road, off ushirika Rd. Hadry Karen",Nairobi,"(-1.3631559, 36.7407074)",-1.3631559,36.7407074,Westlands
Dr. Stanely Kiragu (Prime Physiotherapy Services Ltd),0790498255 / 0202029541,Specialist,Physiotherapist,UpperHill Medical Centre,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Kilimani Physiotherapy centre ltd ,0707935019/0202369519,Specialist,Physiotherapist,"Hurlingham medicare plaza,Womens hospital hurlingham, room 314 ",Nairobi,"(-1.295298, 36.7990396)",-1.295298,36.7990396,Hurlingham
Moshon Physiotherapy Centres Ltd,0712378333/0788643366,Specialist,Physiotherapist,Ring Road Parklands no 8 suite 3 next to empress plaza,Nairobi,"(-1.2581088, 36.8059429)",-1.2581088,36.8059429,Parklands
physical theraphy services,0722796671/0733901719,Specialist,Physiotherapist,Eco Bank Muindi mbingu Street,Nairobi,"(-1.285743, 36.821118)",-1.285743,36.821118,Nairobi CBD
Silver Physiotherapy Workers Cooperative ,721933590,Specialist,Physiotherapist,"Fortis Suit, hospital road,3rd floor, next to kenyatta hospital",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
The Ability Therapy place ltd,0780999709/8,Specialist,Physiotherapist,Muchai drive off ngong road opposite Madina mosque,Nairobi,"(-1.3009317, 36.7993609)",-1.3009317,36.7993609,Ngong Road
Dr. Mushfiqur Rahman Khan,736122523,General consultant ,General Consultant/Laparascopic Surgeon,Nairobi hospital doctors plaza room 304,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr Mauro Saio ,0718043412/0734517972,General consultant ,General consultant ,Nairobi hospital doctors plaza room 109,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Healthbasics International ltd,711226811,Specialist,Nutritionists ,"Stima plaza, stima afya clinic& ICEA building, 2nd floor ",Nairobi,"(-1.2716348, 36.8201373)",-1.2716348,36.8201373,Nairobi CBD
Optimal Bliss Limited ,0740544132/0787061393,Specialist,Psychologist ,"Nelson Awori Center, 2nd Floor, Wing A- Suite 307  Ralph Bunche Road",Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Psychologist Rechael Mbugwa ,0728284187/0731097104,Specialist,Psychologist ,"PROF GEORGE SAITOTI ROAD, WESTLANDS, NAIROBI",Nairobi,"(-1.2675001, 36.812022)",-1.2675001,36.812022,Westlands
Advance Care Dental Center Limited,0709746443/ 0704741383,Specialist,Dentist,"Behind Golden Elites School, Tom Mboya Estate Kisumu",Kisumu,"(-0.0832065, 34.7660814)",-0.0832065,34.7660814,Kisumu
Dental & Maxillofacial Imaging Centre Ltd ( DAMIC) - Kisumu,717340021,Specialist,Dentist,"Ground Floor, Megacity Mall ( inside Acacia Medical Centre), Ondiek Highway off Nairobi Rd, Kisumu",Kisumu,"(-0.0917016, 34.7679568)",-0.0917016,34.7679568,Kisumu
Dr. Ochieng Owiti,0733746971/ 0572022017,Specialist,Dentist,5th Floor Reinsurance Plaza Kisumu,Kisumu,"(-0.1051687, 34.752844)",-0.1051687,34.752844,Kisumu
Kisumu Dental Centre Co. Limited,0722350183/ 0770446069/ 0774248721,Specialist,Dentist,Swan Centre Room G030 Oginga Odinga Street,Kisumu,"(0.5161814, 35.2760654)",0.5161814,35.2760654,Eldoret
Plaza Dental Services,722978968,Specialist,Dentist,Doctors Plaza Along Kakamega Road Opposite JOOTRH,Kisumu,"(-0.0889894, 34.7717912)",-0.0889894,34.7717912,Kisumu
Royal Dental Clinic Kisumu,0731960220 / 0724278923,Specialist,Dentist,"Alpha House3rd Floor, Oginga Odinga Street, Kisumu",Kisumu,"(-0.1014021, 34.7516836)",-0.1014021,34.7516836,Kisumu
The George Dental Centre-Dr. Shem Rakewa,732224624,Specialist,Dentist,"Nairobi -Kisumu Highway, Mega city",Kisumu,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,KIsumu
Dr Dedan Ongonga,775821644,Specialist,physician,"Oasis Doctors Plaza, Kisumu",Kisumu,"(-0.08766679999999999, 34.7703856)",-0.0876668,34.7703856,Kisumu
Dr. David Odeny,057202244 / 0722221790,Specialist,ENT Surgeon,"Aga Khan Hospital Kisumu , Doctors Plaza",Kisumu,"(-0.08766679999999999, 34.7703856)",-0.0876668,34.7703856,Kisumu
Dr. Aggrey Otieno Akula,722804238,Specialist,Gynaecologist,"Doctors Plaza, Tom Mboya Estate, Kisumu",Kisumu,"(-0.08757999999999999, 34.7698593)",-0.08758,34.7698593,Kibos
Dr. Athanasio Onyango Kotonya,722898350,Specialist,Gynaecologist/Consultant Obstetrician ,"WEDCO Centre, Kisumu ",Kisumu,"(-0.1050526, 34.7530123)",-0.1050526,34.7530123,Kisumu
Dr. Walter Otieno,0714481488/0733905494,Specialist,Gynaecologist/Consultant Obstetrician ,"Drs. Plaza, Kisumu-Kakamega Road, Opp Joorth",Kisumu,"(-0.0917016, 34.7679568)",-0.0917016,34.7679568,Kisumu
Iris Eye Clinic,0774-274563/0727200501,Specialist,Opthalmologist,"Alpha House 1st Floor, Oginga Odinga Street, Kisumu",Kisumu,"(-0.1045183, 34.7528538)",-0.1045183,34.7528538,Kisumu
Optica Ltd- Oginga Odinga St. Kisumu,0790201081/ 0721294583,Specialist,Opthalmologist,Oginga Odinga Street Kisumu,Kisumu,"(-0.1014021, 34.7516836)",-0.1014021,34.7516836,Kisumu
Optica Ltd- Tuffoam Mall,112916759,Specialist,Opthalmologist,"Tuffoam Mall, Kisumu",Kisumu,"(-0.1060234, 34.7529759)",-0.1060234,34.7529759,Kisumu
Optica Ltd- United Mall,110652667,Specialist,Opthalmologist,"United Mall, Kisumu",Kisumu,"(-0.0983274, 34.7624705)",-0.0983274,34.7624705,Kisumu
Optica Ltd- Westend Mall,790201082,Specialist,Opthalmologist,Westend Mall Kisumu,Kisumu,"(-0.1069996, 34.75184660000001)",-0.1069996,34.7518466,Kisumu
Titan Optics,796117621,Specialist,Opthalmologist,"Mega City Mall, Kisumu",Kisumu,"(-0.1073793, 34.7705249)",-0.1073793,34.7705249,Kisumu
Vision Edge Opticals and Eye Clinic Ltd ,0732771111/0711155698,Specialist,Opthalmologist,"Varsity plaza, ground floor, bank street - Kisumu ",Kisumu,"(-0.1055436, 34.75197560000001)",-0.1055436,34.7519756,Kisumu
Dr. Walter Otieno,0714481488 / 0733905494,Specialist,Peaditrician,"Drs. Plaza, Kisumu-Kakamega Road, Opp Joorth",Kisumu,"(-0.0917016, 34.7679568)",-0.0917016,34.7679568,Kisumu
Bloom Surgical Centre ,758810776,Specialist,General surgeon ,Kisumu Mega-City ,Kisumu,"(-0.0917016, 34.7679568)",-0.0917016,34.7679568,Kisumu
Dr. Suresh Jari,0726311614/ 0733975478,Specialist,Dermatologist,Aga Khan Doctor's Plaza 2nd Floor Room 15 Mombasa,Mombasa,"(-4.0434771, 39.6682065)",-4.0434771,39.6682065,Mombasa
Dr. Gordon Odera Calleb,0722412010/ 0412222523,Specialist,Consultant Surgeon,Mombasa Trade Centre 2nd Floor,Mombasa,"(-4.0631828, 39.6723747)",-4.0631828,39.6723747,Mombasa
Dr. Lawrence Gikonyo Gathua,722410129,Specialist,Consultant General Surgeon,"Doctors Plaza, Aga Khan Hospital, Mombasa ",Mombasa,"(-4.068631, 39.668989)",-4.068631,39.668989,Mombasa
"Dr Kikwai Kibet Wiley (SBM Bank Building, Mezzanine Floor, Nyerere Road )",0723 013904/0713 486667,Specialist,Gynaecologist,"SBM Bank Building, Mezzanine Floor, Nyerere Road",Mombasa,"(-1.2854116, 36.814083)",-1.2854116,36.814083,Nairobi CBD
Dr. M. J. Othigo,0722411545 / 2223856,Specialist,Gynaecologist,Mombasa Trade Centre 2nd Floor,Mombasa,"(-4.0631828, 39.6723747)",-4.0631828,39.6723747,Mombasa
Pwani Gyno Centre,713486667,Specialist,Gynaecologist,"SBM Bank Building, Nyerere Road Mombasa",Mombasa,"(-4.0664524, 39.6701359)",-4.0664524,39.6701359,Mombasa
Dr. Ibrahim Matende (Shiloh Excellent Opthalmic Services),0728958541/ 0202443182,Specialist,Opthalmologists & Opticians,"SBM Bank Building, Nyerere Road Mombasa",Mombasa,"(-4.0664524, 39.6701359)",-4.0664524,39.6701359,Mombasa
International Optica,0701861222/ 0733861222,Specialist,Opthalmologists & Opticians,"Plot 82 Moi Av. Mombasa, opp Royal Castle Hotel",Mombasa,"(-4.0613686, 39.66444)",-4.0613686,39.66444,Mombasa
Light House for Christ Eye Centre,0724620888/0733226179,Specialist,Opthalmologists & Opticians,"Mombasa,along Abdel Nasser Rd",Mombasa,"(-4.0521454, 39.6739191)",-4.0521454,39.6739191,Mombasa
Omega Opticians-Mombasa-Digo road,700121806,Specialist,Opthalmologists & Opticians,"Former Tuskys building, ground floor, Next to Post-Digo road",Mombasa,"(-4.0608457, 39.6720892)",-4.0608457,39.6720892,Mombasa
Omega Opticians-Mombasa-Moi Avenue,716727344,Specialist,Opthalmologists & Opticians,"Yunis Building, ground floor, Moi Avenue",Mombasa,"(-4.0609341, 39.6667465)",-4.0609341,39.6667465,Mombasa
"Optica Ltd- City Mall, Shop No. G10, Ground Floor, Nyali",713624635,Specialist,Opthalmologists & Opticians,City Mall Nyali,Mombasa,"(-4.0191985, 39.7211275)",-4.0191985,39.7211275,Mombasa
"Optica Ltd- Equator Building, Moi Avenue Mombasa",790201086,Specialist,Opthalmologists & Opticians,Moi Avenue Mombasa,Mombasa,"(-4.0613837, 39.6637536)",-4.0613837,39.6637536,Mombasa
"Optica Ltd- Nova Mall, Likoni",112916759,Specialist,Opthalmologists & Opticians,"Nova Mall, Likoni",Mombasa,"(-4.0840986, 39.6608103)",-4.0840986,39.6608103,Mombasa
Optica Ltd- SBS Markiti,114416649,Specialist,Opthalmologists & Opticians,"SBS Markiti, Digo road",Mombasa,"(-4.0582882, 39.67301)",-4.0582882,39.67301,Mombasa
Vijay Optica,0412223813 / 2221767 / 0720853343 / 0733242908,Specialist,Opthalmologists & Opticians,"Next to Fontanella Resturant, Moi Avenue Mombasa",Mombasa,"(-4.0613837, 39.6637536)",-4.0613837,39.6637536,Mombasa
Dr. Salim K. Noorani,0721245893 / 0735245893 / 0412315683,Specialist,Orthopaedic,"The Agah Khan, Doctors Plaza Nyerere Avenue, Mombasa",Mombasa,"(-4.068631, 39.668989)",-4.068631,39.668989,Mombasa
Dr. Aggrey Marami ,0722410125/ 0772115416,Specialist,Consultant Paeditrician ,Aga Khan Doctor's Plaza Mombasa,Mombasa,"(-4.0434771, 39.6682065)",-4.0434771,39.6682065,Mombasa
Dr. Fredrick Gikandi,0722684176 / 0718087793,Specialist,Peaditrician,"Aga Khan Doctors Plaza Room 11, Mombasa",Mombasa,"(-4.0434771, 39.6682065)",-4.0434771,39.6682065,Mombasa
CB Patel,0715106970/0722774684,Specialist,Dental surgeon ,"Mombasa trade centre, Nkurumah road, Northwing Mombasa ",Mombasa,"(-4.0631828, 39.6723747)",-4.0631828,39.6723747,Mombasa
Dentosense Dental Clinic,721393939,Specialist,Dental surgeon,"1st Floor, TSS Tower, Nkurumah Rd, Mombasa",Mombasa,"(-4.062660699999999, 39.6716903)",-4.0626607,39.6716903,Mombasa
Tabasamu Dental,702998882,Specialist,Dental surgeon,"Mombasa Trade Centre, Nkurumah Road( Ambalal House)",Mombasa,"(-4.0630643, 39.67229469999999)",-4.0630643,39.6722947,Mombasa
Advent Med& Dent Care Centre,0707745005/0713885412/051-2212122,Specialist,Dentist,"Polo Center, 1st floor; opposite Seguton petrol station. at the junction of Kenyatta and Tom MboyaÂ avenues- Nakuru ",Nakuru,"(-0.3030988, 36.080026)",-0.3030988,36.080026,Nakuru
Elephant Dental - Naivasha Clinic ,0704681047/0721602281,Specialist,Dentist,Kinangop Stage - Naivasha ,Nakuru,"(-0.7171778, 36.4310251)",-0.7171778,36.4310251,Naivasha
Elephant Dental Nakuru ( Dr. Frankline Kidula),791633544,Specialist,Dentist,"Masters Plaza, 3rd floor ",Nakuru,"(-0.2843201, 36.0710984)",-0.2843201,36.0710984,Nakuru
Evergreen Dental Care,797914060,Specialist,Dentist,"Golden Life Mall,7th Floor-Nakuru",Nakuru,"(-0.2892948, 36.0517521)",-0.2892948,36.0517521,Nakuru
